Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Site,Model
1084155,15Q3User 44,70201,1,02/07/2015,17:13,02/07/2015,21:21,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1087776,15Q3User 64,70201,1,05/07/2015,15:56,05/07/2015,17:32,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1088487,15Q3User 628,70206,2,06/07/2015,09:03,06/07/2015,17:07,3.48,Elland Road Park and Ride,APT 7kW Dual Outlet
1089925,15Q3User 628,70206,2,07/07/2015,08:56,07/07/2015,16:57,6.46,Elland Road Park and Ride,APT 7kW Dual Outlet
1094520,15Q3User 58,70205,1,10/07/2015,09:21,10/07/2015,14:43,9.67,Elland Road Park and Ride,APT 7kW Dual Outlet
1095239,15Q3User 87,70203,1,10/07/2015,17:37,10/07/2015,23:22,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1096288,15Q3User 64,70206,2,11/07/2015,16:35,11/07/2015,16:36,0.0,Elland Road Park and Ride,APT 7kW Dual Outlet
1096289,15Q3User 64,70206,2,11/07/2015,16:36,11/07/2015,19:08,14.78,Elland Road Park and Ride,APT 7kW Dual Outlet
1097286,15Q3User 63,70204,2,12/07/2015,14:29,12/07/2015,17:05,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1097291,15Q3User 84,70201,1,12/07/2015,14:40,12/07/2015,16:11,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1099789,15Q3User 58,70205,1,14/07/2015,11:39,14/07/2015,16:41,9.98,Elland Road Park and Ride,APT 7kW Dual Outlet
1101223,15Q3User 628,70206,2,15/07/2015,08:55,15/07/2015,16:40,9.0,Elland Road Park and Ride,APT 7kW Dual Outlet
1102911,15Q3User 628,70206,2,16/07/2015,08:53,16/07/2015,17:00,6.72,Elland Road Park and Ride,APT 7kW Dual Outlet
1106181,15Q3User 67,70207,1,18/07/2015,12:52,18/07/2015,18:30,9.85,Elland Road Park and Ride,APT 7kW Dual Outlet
1108358,15Q3User 628,70206,1,20/07/2015,08:47,20/07/2015,16:30,2.39,Elland Road Park and Ride,APT 7kW Dual Outlet
1109826,15Q3User 628,70206,1,21/07/2015,08:46,21/07/2015,16:18,5.74,Elland Road Park and Ride,APT 7kW Dual Outlet
1110454,15Q3User 57,70208,1,21/07/2015,14:02,21/07/2015,14:17,1.72,Elland Road Park and Ride,APT 7kW Dual Outlet
1111384,15Q3User 636,70205,1,22/07/2015,07:44,22/07/2015,17:02,17.92,Elland Road Park and Ride,APT 7kW Dual Outlet
1111426,15Q3User 628,70206,1,22/07/2015,08:35,22/07/2015,16:42,6.17,Elland Road Park and Ride,APT 7kW Dual Outlet
1112964,15Q3User 636,70205,1,23/07/2015,08:10,23/07/2015,17:34,12.94,Elland Road Park and Ride,APT 7kW Dual Outlet
1114616,15Q3User 628,70206,1,24/07/2015,08:39,24/07/2015,16:52,10.06,Elland Road Park and Ride,APT 7kW Dual Outlet
1115736,15Q3User 51,70203,1,24/07/2015,19:09,24/07/2015,22:08,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1117718,15Q3User 636,70205,1,27/07/2015,08:35,27/07/2015,17:25,15.76,Elland Road Park and Ride,APT 7kW Dual Outlet
1118746,15Q3User 636,70205,1,28/07/2015,08:28,28/07/2015,16:53,13.69,Elland Road Park and Ride,APT 7kW Dual Outlet
1118761,15Q3User 628,70206,1,28/07/2015,08:41,28/07/2015,17:46,11.09,Elland Road Park and Ride,APT 7kW Dual Outlet
1120286,15Q3User 636,70205,1,29/07/2015,08:25,29/07/2015,17:12,13.73,Elland Road Park and Ride,APT 7kW Dual Outlet
1128836,15Q3User 636,70205,1,04/08/2015,08:18,04/08/2015,17:20,11.13,Elland Road Park and Ride,APT 7kW Dual Outlet
1130683,15Q3User 636,70205,1,05/08/2015,08:00,05/08/2015,17:45,11.22,Elland Road Park and Ride,APT 7kW Dual Outlet
1132210,15Q3User 636,70205,1,06/08/2015,08:09,06/08/2015,17:45,10.91,Elland Road Park and Ride,APT 7kW Dual Outlet
1133252,15Q3User 83,70207,2,06/08/2015,19:04,06/08/2015,20:56,12.31,Elland Road Park and Ride,APT 7kW Dual Outlet
1137238,15Q3User 64,70200,1,09/08/2015,15:12,09/08/2015,18:24,10.8,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1138724,15Q3User 51,70208,1,10/08/2015,15:17,10/08/2015,16:35,4.21,Elland Road Park and Ride,APT 7kW Dual Outlet
1139601,15Q3User 636,70205,1,11/08/2015,08:14,11/08/2015,17:02,13.48,Elland Road Park and Ride,APT 7kW Dual Outlet
1141151,15Q3User 636,70205,1,12/08/2015,07:48,13/08/2015,08:11,11.73,Elland Road Park and Ride,APT 7kW Dual Outlet
1142846,15Q3User 636,70206,1,13/08/2015,08:13,13/08/2015,16:12,11.8,Elland Road Park and Ride,APT 7kW Dual Outlet
1151397,15Q3User 636,70206,1,17/08/2015,07:07,17/08/2015,16:00,15.8,Elland Road Park and Ride,APT 7kW Dual Outlet
1154504,15Q3User 84,70208,1,18/08/2015,07:11,18/08/2015,16:00,12.03,Elland Road Park and Ride,APT 7kW Dual Outlet
1154601,15Q3User 636,70206,1,18/08/2015,07:49,18/08/2015,16:12,11.53,Elland Road Park and Ride,APT 7kW Dual Outlet
1155288,15Q3User 55,70207,2,18/08/2015,10:09,18/08/2015,12:29,4.99,Elland Road Park and Ride,APT 7kW Dual Outlet
1161432,15Q3User 631,70206,1,19/08/2015,11:12,19/08/2015,15:01,14.53,Elland Road Park and Ride,APT 7kW Dual Outlet
1166740,15Q3User 84,70208,1,20/08/2015,07:15,20/08/2015,16:10,13.38,Elland Road Park and Ride,APT 7kW Dual Outlet
1166860,15Q3User 636,70206,1,20/08/2015,07:44,20/08/2015,16:41,10.73,Elland Road Park and Ride,APT 7kW Dual Outlet
1173241,15Q3User 636,70206,1,21/08/2015,08:25,21/08/2015,14:44,17.12,Elland Road Park and Ride,APT 7kW Dual Outlet
1179512,15Q3User 63,70204,1,22/08/2015,09:33,22/08/2015,11:29,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1179708,15Q3User 84,70203,1,22/08/2015,10:30,22/08/2015,12:48,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1186511,15Q3User 64,70200,1,23/08/2015,14:49,23/08/2015,16:59,6.28,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1190283,15Q3User 84,70208,1,24/08/2015,07:14,24/08/2015,16:13,15.25,Elland Road Park and Ride,APT 7kW Dual Outlet
1190419,15Q3User 636,70206,1,24/08/2015,07:50,24/08/2015,13:41,10.48,Elland Road Park and Ride,APT 7kW Dual Outlet
1196706,15Q3User 628,70206,1,25/08/2015,08:44,25/08/2015,17:10,9.58,Elland Road Park and Ride,APT 7kW Dual Outlet
1202411,15Q3User 84,70208,1,26/08/2015,07:14,26/08/2015,16:02,14.31,Elland Road Park and Ride,APT 7kW Dual Outlet
1208861,15Q3User 628,70206,1,27/08/2015,08:40,27/08/2015,17:27,9.9,Elland Road Park and Ride,APT 7kW Dual Outlet
1209019,15Q3User 636,70206,2,27/08/2015,08:53,27/08/2015,17:03,14.91,Elland Road Park and Ride,APT 7kW Dual Outlet
1216142,15Q3User 628,70206,1,28/08/2015,08:34,28/08/2015,17:45,6.94,Elland Road Park and Ride,APT 7kW Dual Outlet
1216375,15Q3User 636,70206,2,28/08/2015,09:01,28/08/2015,14:50,14.89,Elland Road Park and Ride,APT 7kW Dual Outlet
1220544,15Q3User 625,70200,1,28/08/2015,21:35,28/08/2015,23:50,8.46,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1244973,15Q3User 84,70208,1,01/09/2015,07:13,01/09/2015,15:59,12.98,Elland Road Park and Ride,APT 7kW Dual Outlet
1247809,15Q3User 84,70208,1,02/09/2015,07:14,02/09/2015,16:01,4.9,Elland Road Park and Ride,APT 7kW Dual Outlet
1250079,15Q3User 84,70208,1,03/09/2015,07:14,03/09/2015,07:15,0.0,Elland Road Park and Ride,APT 7kW Dual Outlet
1250080,15Q3User 84,70208,1,03/09/2015,07:15,03/09/2015,15:49,4.43,Elland Road Park and Ride,APT 7kW Dual Outlet
1255781,15Q3User 64,70200,2,06/09/2015,13:03,06/09/2015,16:03,11.4,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1258604,15Q3User 84,70208,2,08/09/2015,07:15,08/09/2015,15:59,13.24,Elland Road Park and Ride,APT 7kW Dual Outlet
1262609,15Q3User 84,70208,1,10/09/2015,07:14,10/09/2015,16:02,14.43,Elland Road Park and Ride,APT 7kW Dual Outlet
1266711,15Q3User 84,70202,2,12/09/2015,10:52,12/09/2015,12:37,6.56,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1269370,15Q3User 84,70207,1,14/09/2015,07:14,14/09/2015,15:59,12.41,Elland Road Park and Ride,APT 7kW Dual Outlet
1269466,15Q3User 628,70206,1,14/09/2015,08:41,14/09/2015,16:40,3.06,Elland Road Park and Ride,APT 7kW Dual Outlet
1269469,15Q3User 636,70206,2,14/09/2015,08:44,14/09/2015,18:00,13.87,Elland Road Park and Ride,APT 7kW Dual Outlet
1270366,15Q3User 44,70201,1,14/09/2015,16:44,14/09/2015,20:21,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1271498,15Q3User 636,70206,1,15/09/2015,09:23,15/09/2015,17:22,17.28,Elland Road Park and Ride,APT 7kW Dual Outlet
1271878,15Q3User 96,70203,2,15/09/2015,12:54,15/09/2015,18:03,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1272480,15Q3User 92,70202,2,15/09/2015,17:16,15/09/2015,18:08,3.3,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1273209,15Q3User 84,70207,1,16/09/2015,07:14,16/09/2015,16:02,14.35,Elland Road Park and Ride,APT 7kW Dual Outlet
1273308,15Q3User 636,70206,1,16/09/2015,08:28,16/09/2015,17:21,17.73,Elland Road Park and Ride,APT 7kW Dual Outlet
1273437,15Q3User 628,70206,2,16/09/2015,08:57,16/09/2015,16:00,3.84,Elland Road Park and Ride,APT 7kW Dual Outlet
1275194,15Q3User 636,70206,1,17/09/2015,07:22,17/09/2015,16:31,12.34,Elland Road Park and Ride,APT 7kW Dual Outlet
1275315,15Q3User 628,70206,2,17/09/2015,08:45,17/09/2015,17:10,7.7,Elland Road Park and Ride,APT 7kW Dual Outlet
1277195,15Q3User 636,70206,1,18/09/2015,07:09,18/09/2015,12:09,12.13,Elland Road Park and Ride,APT 7kW Dual Outlet
1277201,15Q3User 84,70207,1,18/09/2015,07:15,18/09/2015,16:03,11.21,Elland Road Park and Ride,APT 7kW Dual Outlet
1277365,15Q3User 628,70206,2,18/09/2015,08:48,18/09/2015,17:22,6.59,Elland Road Park and Ride,APT 7kW Dual Outlet
1281971,15Q3User 84,70207,2,21/09/2015,07:15,21/09/2015,15:50,8.13,Elland Road Park and Ride,APT 7kW Dual Outlet
1281979,15Q3User 636,70206,1,21/09/2015,07:29,21/09/2015,18:31,11.37,Elland Road Park and Ride,APT 7kW Dual Outlet
1282180,15Q3User 628,70206,2,21/09/2015,08:55,21/09/2015,16:50,2.79,Elland Road Park and Ride,APT 7kW Dual Outlet
1283872,15Q3User 636,70206,1,22/09/2015,07:06,22/09/2015,18:10,11.79,Elland Road Park and Ride,APT 7kW Dual Outlet
1284325,15Q3User 59,70208,2,22/09/2015,11:57,22/09/2015,11:57,0.0,Elland Road Park and Ride,APT 7kW Dual Outlet
1284358,15Q3User 59,70208,2,22/09/2015,12:19,22/09/2015,12:19,0.0,Elland Road Park and Ride,APT 7kW Dual Outlet
1284360,15Q3User 59,70208,1,22/09/2015,12:19,22/09/2015,12:21,0.0,Elland Road Park and Ride,APT 7kW Dual Outlet
1284366,15Q3User 59,70208,2,22/09/2015,12:22,22/09/2015,16:01,0.0,Elland Road Park and Ride,APT 7kW Dual Outlet
1285830,15Q3User 636,70206,1,23/09/2015,07:10,23/09/2015,16:50,11.76,Elland Road Park and Ride,APT 7kW Dual Outlet
1285835,15Q3User 84,70207,1,23/09/2015,07:15,23/09/2015,15:49,13.07,Elland Road Park and Ride,APT 7kW Dual Outlet
1286072,15Q3User 628,70206,2,23/09/2015,08:51,23/09/2015,16:49,11.84,Elland Road Park and Ride,APT 7kW Dual Outlet
1288120,15Q3User 636,70206,1,24/09/2015,06:50,24/09/2015,17:58,13.02,Elland Road Park and Ride,APT 7kW Dual Outlet
1288405,15Q3User 628,70206,2,24/09/2015,08:54,24/09/2015,16:41,7.54,Elland Road Park and Ride,APT 7kW Dual Outlet
1288419,15Q3User 642,70207,1,24/09/2015,08:57,24/09/2015,17:05,2.43,Elland Road Park and Ride,APT 7kW Dual Outlet
1288565,15Q3User 110,70205,1,24/09/2015,11:18,24/09/2015,19:14,16.1,Elland Road Park and Ride,APT 7kW Dual Outlet
1297761,15Q3User 628,70206,2,25/09/2015,08:46,25/09/2015,15:58,7.26,Elland Road Park and Ride,APT 7kW Dual Outlet
1306673,15Q3User 103,70204,1,26/09/2015,12:01,26/09/2015,17:41,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1307317,15Q3User 63,70201,1,26/09/2015,13:59,26/09/2015,15:15,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1312604,15Q3User 106,70200,1,28/09/2015,07:14,29/09/2015,01:55,3.82,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1312607,15Q3User 84,70207,1,28/09/2015,07:17,28/09/2015,15:38,14.09,Elland Road Park and Ride,APT 7kW Dual Outlet
1312653,15Q3User 636,70206,1,28/09/2015,07:48,28/09/2015,17:26,18.54,Elland Road Park and Ride,APT 7kW Dual Outlet
1312851,15Q3User 628,70206,2,28/09/2015,08:52,28/09/2015,17:12,2.5,Elland Road Park and Ride,APT 7kW Dual Outlet
1314113,15Q3User 71,70207,1,28/09/2015,15:55,28/09/2015,16:50,5.99,Elland Road Park and Ride,APT 7kW Dual Outlet
1316073,15Q3User 636,70206,1,29/09/2015,07:51,29/09/2015,17:00,14.63,Elland Road Park and Ride,APT 7kW Dual Outlet
1316266,15Q3User 628,70206,2,29/09/2015,08:50,29/09/2015,16:55,6.8,Elland Road Park and Ride,APT 7kW Dual Outlet
1316686,15Q3User 44,70203,2,29/09/2015,11:36,29/09/2015,15:38,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1319385,15Q3User 84,70207,1,30/09/2015,07:15,30/09/2015,15:51,11.24,Elland Road Park and Ride,APT 7kW Dual Outlet
1319391,15Q3User 636,70206,1,30/09/2015,07:16,30/09/2015,17:41,13.28,Elland Road Park and Ride,APT 7kW Dual Outlet
1319392,15Q3User 106,70200,2,30/09/2015,07:18,30/09/2015,07:22,0.08,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1319402,15Q3User 106,70200,2,30/09/2015,07:22,30/09/2015,18:04,6.74,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1319639,15Q3User 628,70206,2,30/09/2015,08:49,30/09/2015,10:22,5.16,Elland Road Park and Ride,APT 7kW Dual Outlet
1319781,15Q3User 629,70208,1,30/09/2015,09:07,30/09/2015,10:22,4.12,Elland Road Park and Ride,APT 7kW Dual Outlet
1320041,15Q3User 628,70206,2,30/09/2015,11:14,30/09/2015,11:14,0.0,Elland Road Park and Ride,APT 7kW Dual Outlet
1320129,15Q3User 478,70204,1,30/09/2015,11:57,30/09/2015,14:52,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1322644,15Q3User 636,70206,1,01/10/2015,07:17,01/10/2015,16:57,13.13,Elland Road Park and Ride,APT 7kW Dual Outlet
1322648,15Q3User 106,70201,1,01/10/2015,07:19,01/10/2015,14:54,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1324286,15Q3User 44,70200,1,01/10/2015,17:12,01/10/2015,19:10,5.29,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1326012,15Q3User 628,70206,2,02/10/2015,08:41,02/10/2015,17:05,11.85,Elland Road Park and Ride,APT 7kW Dual Outlet
1329083,15Q3User 84,70203,2,03/10/2015,10:57,03/10/2015,13:27,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1329337,15Q3User 625,70202,1,03/10/2015,12:51,03/10/2015,16:13,5.23,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1332639,15Q3User 636,70206,1,05/10/2015,07:02,05/10/2015,17:04,12.24,Elland Road Park and Ride,APT 7kW Dual Outlet
1332661,15Q3User 84,70207,1,05/10/2015,07:14,05/10/2015,15:51,14.35,Elland Road Park and Ride,APT 7kW Dual Outlet
1332834,15Q3User 628,70206,2,05/10/2015,08:46,05/10/2015,16:58,3.02,Elland Road Park and Ride,APT 7kW Dual Outlet
1332897,15Q3User 38,70208,1,05/10/2015,09:10,05/10/2015,16:25,18.57,Elland Road Park and Ride,APT 7kW Dual Outlet
1335036,15Q3User 636,70206,1,06/10/2015,07:20,06/10/2015,17:26,11.28,Elland Road Park and Ride,APT 7kW Dual Outlet
1335140,15Q3User 44,70202,2,06/10/2015,08:15,06/10/2015,10:32,6.56,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1335305,15Q3User 38,70207,1,06/10/2015,09:34,06/10/2015,16:46,15.99,Elland Road Park and Ride,APT 7kW Dual Outlet
1336807,15Q3User 84,70206,2,07/10/2015,07:14,07/10/2015,16:03,13.59,Elland Road Park and Ride,APT 7kW Dual Outlet
1336810,15Q3User 106,70203,1,07/10/2015,07:17,07/10/2015,17:39,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1336817,15Q3User 636,70206,1,07/10/2015,07:22,07/10/2015,17:25,11.45,Elland Road Park and Ride,APT 7kW Dual Outlet
1337203,15Q3User 55,70207,1,07/10/2015,12:03,07/10/2015,16:20,5.66,Elland Road Park and Ride,APT 7kW Dual Outlet
1338355,15Q3User 636,70206,1,08/10/2015,07:12,08/10/2015,17:38,12.46,Elland Road Park and Ride,APT 7kW Dual Outlet
1338362,15Q3User 106,70203,1,08/10/2015,07:17,08/10/2015,18:13,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1338514,15Q3User 628,70206,2,08/10/2015,08:48,08/10/2015,17:12,7.75,Elland Road Park and Ride,APT 7kW Dual Outlet
1339425,15Q3User 51,70202,2,08/10/2015,16:13,08/10/2015,18:22,6.86,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1339990,15Q3User 84,70207,1,09/10/2015,07:13,09/10/2015,15:49,14.47,Elland Road Park and Ride,APT 7kW Dual Outlet
